Project_name,Tool_name,CWE_ID,Number of Findings,Is_In_CWE_Top_25?
libsndfile,Flawfinder,CWE-362,43,Yes
libsndfile,Flawfinder,CWE-134,16,No
libsndfile,Flawfinder,CWE-78),8,No
libsndfile,Flawfinder,CWE-120,118,No
libsndfile,Flawfinder,CWE-807,2,No
libsndfile,Flawfinder,CWE-327,2,No
libsndfile,Flawfinder,CWE-829,1,No
libsndfile,Flawfinder,CWE-119,176,No
libsndfile,Flawfinder,CWE-190,1,No
libsndfile,Flawfinder,CWE-126,84,No
libsndfile,Flawfinder,CWE-676,1,No
libsndfile,Cppcheck,CWE-398,821,No
libsndfile,Cppcheck,CWE-628,72,No
libsndfile,Cppcheck,CWE-563,96,No
libsndfile,Cppcheck,CWE-561,47,No
libsndfile,Cppcheck,CWE-457,2,No
libsndfile,Cppcheck,CWE-195,1,No
libsndfile,Cppcheck,CWE-758,7,No
libsndfile,Cppcheck,CWE-570,8,No
libsndfile,Cppcheck,CWE-571,12,No
libsndfile,Cppcheck,CWE-704,23,No
libsndfile,Cppcheck,CWE-682,4,No
libsndfile,Cppcheck,CWE-683,4,No
libsndfile,Cppcheck,CWE-686,35,No
libsndfile,Cppcheck,CWE-476,23,Yes
libsndfile,Cppcheck,CWE-119,1,No
libsndfile,Cppcheck,CWE-665,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-401,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-476,1,Yes
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-476,1,Yes
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-119,1,No
libgit2,Flawfinder,CWE-362,36,Yes
libgit2,Flawfinder,CWE-120,486,No
libgit2,Flawfinder,CWE-134,29,No
libgit2,Flawfinder,CWE-78),4,No
libgit2,Flawfinder,CWE-377,2,No
libgit2,Flawfinder,CWE-807,7,No
libgit2,Flawfinder,CWE-829,1,No
libgit2,Flawfinder,CWE-327,5,No
libgit2,Flawfinder,CWE-119,420,No
libgit2,Flawfinder,CWE-190,1,No
libgit2,Flawfinder,CWE-126,932,No
libgit2,Flawfinder,CWE-732,3,No
libgit2,Flawfinder,CWE-676,1,No
libgit2,Cppcheck,CWE-398,546,No
libgit2,Cppcheck,CWE-476,26,Yes
libgit2,Cppcheck,CWE-570,51,No
libgit2,Cppcheck,CWE-561,4439,No
libgit2,Cppcheck,CWE-628,131,No
libgit2,Cppcheck,CWE-563,75,No
libgit2,Cppcheck,CWE-758,4,No
libgit2,Cppcheck,CWE-562,4,No
libgit2,Cppcheck,CWE-571,40,No
libgit2,Cppcheck,CWE-686,36,No
libgit2,Cppcheck,CWE-682,1,No
libgit2,Cppcheck,CWE-195,3,No
libgit2,Cppcheck,CWE-457,33,No
libgit2,Cppcheck,CWE-401,1,No
libgit2,Cppcheck,CWE-467,1,No
libgit2,Cppcheck,CWE-683,1,No
libgit2,Cppcheck,CWE-664,4,No
libgit2,Splint,CWE-476,1,Yes
libgit2,Splint,CWE-476,1,Yes
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-476,1,Yes
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-476,1,Yes
libgit2,Splint,CWE-401,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-401,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-120,1,No
libgit2,Splint,CWE-120,1,No
libgit2,Splint,CWE-120,1,No
libgit2,Splint,CWE-120,1,No
libgit2,Splint,CWE-120,1,No
libgit2,Splint,CWE-120,1,No
libgit2,Splint,CWE-120,1,No
libgit2,Splint,CWE-120,1,No
libgit2,Splint,CWE-120,1,No
libgit2,Splint,CWE-120,1,No
libgit2,Splint,CWE-120,1,No
libgit2,Splint,CWE-120,1,No
libgit2,Splint,CWE-120,1,No
libgit2,Splint,CWE-120,1,No
libgit2,Splint,CWE-401,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-476,1,Yes
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-252,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
libgit2,Splint,CWE-119,1,No
nghttp2,Flawfinder,CWE-362,34,Yes
nghttp2,Flawfinder,CWE-134,19,No
nghttp2,Flawfinder,CWE-120,112,No
nghttp2,Flawfinder,CWE-807,6,No
nghttp2,Flawfinder,CWE-119,10,No
nghttp2,Flawfinder,CWE-377,9,No
nghttp2,Flawfinder,CWE-126,53,No
nghttp2,Cppcheck,CWE-476,28,Yes
nghttp2,Cppcheck,CWE-398,645,No
nghttp2,Cppcheck,CWE-571,6,No
nghttp2,Cppcheck,CWE-563,9,No
nghttp2,Cppcheck,CWE-628,28,No
nghttp2,Cppcheck,CWE-570,11,No
nghttp2,Cppcheck,CWE-561,445,No
nghttp2,Splint,CWE-119,1,No
