Block,gen[B],kill[B],in[B],out[B]
B0,,,,
B1,D1 D2 D3 D4,D103 D14 D19 D23 D30 D36 D42 D48 D5 D51 D57 D73 D75 D76 D8 D81 D88 D97,,D1 D2 D3 D4
B2,D5,D1 D103 D14 D19 D23 D30 D36 D42 D48 D51 D57 D73 D75 D8 D81 D88 D97,D1 D2 D3 D4,D2 D3 D4 D5
B3,D6,D10 D11 D21 D24 D25 D26 D53,D2 D3 D4 D5,D2 D3 D4 D5 D6
B4,D7,D9,D2 D3 D4 D5 D6,D2 D3 D4 D5 D6 D7
B5,D8,D1 D103 D14 D19 D23 D30 D36 D42 D48 D5 D51 D57 D73 D75 D81 D88 D97,D2 D3 D4 D5 D6 D7,D2 D3 D4 D6 D7 D8
B6,D9,D7,D2 D3 D4 D6 D7 D8,D2 D3 D4 D6 D8 D9
B7,,,D2 D3 D4 D6 D8 D9,D2 D3 D4 D6 D8 D9
B8,D10,D11 D21 D24 D25 D26 D53 D6,D2 D3 D4 D6 D8 D9,D10 D2 D3 D4 D8 D9
B9,,,D10 D2 D3 D4 D6 D8 D9,D10 D2 D3 D4 D6 D8 D9
B10,D11,D10 D21 D24 D25 D26 D53 D6,D10 D2 D3 D4 D6 D8 D9,D11 D2 D3 D4 D8 D9
B11,D12 D13,D15 D16,D11 D2 D3 D4 D6 D7 D8 D9,D11 D12 D13 D2 D3 D4 D6 D7 D8 D9
B12,D14,D1 D103 D19 D23 D30 D36 D42 D48 D5 D51 D57 D73 D75 D8 D81 D88 D97,D11 D12 D13 D2 D3 D4 D6 D7 D8 D9,D11 D12 D13 D14 D2 D3 D4 D6 D7 D9
B13,,,D11 D12 D13 D14 D2 D3 D4 D6 D7 D9,D11 D12 D13 D14 D2 D3 D4 D6 D7 D9
B14,D15,D12,D11 D12 D13 D14 D2 D3 D4 D6 D7 D9,D11 D13 D14 D15 D2 D3 D4 D6 D7 D9
B15,,,D11 D12 D13 D14 D15 D2 D3 D4 D6 D7 D9,D11 D12 D13 D14 D15 D2 D3 D4 D6 D7 D9
B16,D16,D13,D11 D12 D13 D14 D15 D2 D3 D4 D6 D7 D9,D11 D12 D14 D15 D16 D2 D3 D4 D6 D7 D9
B17,D17 D18,D20,D11 D12 D13 D14 D15 D16 D2 D3 D4 D6 D7 D9,D11 D12 D13 D14 D15 D16 D17 D18 D2 D3 D4 D6 D7 D9
B18,D19,D1 D103 D14 D23 D30 D36 D42 D48 D5 D51 D57 D73 D75 D8 D81 D88 D97,D11 D12 D13 D14 D15 D16 D17 D18 D2 D3 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D19 D2 D3 D4 D6 D7 D9
B19,,,D11 D12 D13 D15 D16 D17 D18 D19 D2 D3 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D19 D2 D3 D4 D6 D7 D9
B20,D20,D18,D11 D12 D13 D15 D16 D17 D18 D19 D2 D3 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D19 D2 D20 D3 D4 D6 D7 D9
B21,,,D11 D12 D13 D15 D16 D17 D18 D19 D2 D20 D3 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D19 D2 D20 D3 D4 D6 D7 D9
B22,D21,D10 D11 D24 D25 D26 D53 D6,D11 D12 D13 D15 D16 D17 D18 D19 D2 D20 D3 D4 D6 D7 D9,D12 D13 D15 D16 D17 D18 D19 D2 D20 D21 D3 D4 D7 D9
B23,D22,D27,D11 D12 D13 D15 D16 D17 D18 D19 D2 D20 D21 D3 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D19 D2 D20 D21 D22 D3 D4 D6 D7 D9
B24,,,D11 D12 D13 D15 D16 D17 D18 D19 D2 D20 D21 D22 D3 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D19 D2 D20 D21 D22 D3 D4 D6 D7 D9
B25,D23,D1 D103 D14 D19 D30 D36 D42 D48 D5 D51 D57 D73 D75 D8 D81 D88 D97,D11 D12 D13 D15 D16 D17 D18 D19 D2 D20 D21 D22 D3 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D23 D3 D4 D6 D7 D9
B26,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D23 D3 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D23 D3 D4 D6 D7 D9
B27,D24,D10 D11 D21 D25 D26 D53 D6,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D23 D3 D4 D6 D7 D9,D12 D13 D15 D16 D17 D18 D2 D20 D22 D23 D24 D3 D4 D7 D9
B28,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D23 D24 D3 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D23 D24 D3 D4 D6 D7 D9
B29,D25,D10 D11 D21 D24 D26 D53 D6,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D23 D24 D3 D4 D6 D7 D9,D12 D13 D15 D16 D17 D18 D2 D20 D22 D23 D25 D3 D4 D7 D9
B30,,,D12 D13 D15 D16 D17 D18 D2 D20 D22 D23 D25 D3 D4 D7 D9,D12 D13 D15 D16 D17 D18 D2 D20 D22 D23 D25 D3 D4 D7 D9
B31,D26,D10 D11 D21 D24 D25 D53 D6,D12 D13 D15 D16 D17 D18 D2 D20 D22 D23 D25 D3 D4 D7 D9,D12 D13 D15 D16 D17 D18 D2 D20 D22 D23 D26 D3 D4 D7 D9
B32,D27,D22,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D23 D25 D26 D3 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D23 D25 D26 D27 D3 D4 D6 D7 D9
B33,D28 D29,D31 D32,D11 D12 D13 D15 D16 D17 D18 D19 D2 D20 D21 D22 D23 D25 D26 D27 D3 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D19 D2 D20 D21 D22 D23 D25 D26 D27 D28 D29 D3 D4 D6 D7 D9
B34,D30,D1 D103 D14 D19 D23 D36 D42 D48 D5 D51 D57 D73 D75 D8 D81 D88 D97,D11 D12 D13 D15 D16 D17 D18 D19 D2 D20 D21 D22 D23 D25 D26 D27 D28 D29 D3 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D30 D4 D6 D7 D9
B35,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D30 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D30 D4 D6 D7 D9
B36,D31,D28,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D30 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D29 D3 D30 D31 D4 D6 D7 D9
B37,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D30 D31 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D30 D31 D4 D6 D7 D9
B38,D32,D29,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D30 D31 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D3 D30 D31 D32 D4 D6 D7 D9
B39,D33 D34 D35,D37,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D30 D31 D32 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D30 D31 D32 D33 D34 D35 D4 D6 D7 D9
B40,D36,D1 D103 D14 D19 D23 D30 D42 D48 D5 D51 D57 D73 D75 D8 D81 D88 D97,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D30 D31 D32 D33 D34 D35 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D36 D4 D6 D7 D9
B41,D37,D35,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D36 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D36 D37 D4 D6 D7 D9
B42,D38 D39 D40 D41,D43 D44 D45 D46,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D36 D37 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D36 D37 D38 D39 D4 D40 D41 D6 D7 D9
B43,D42,D1 D103 D14 D19 D23 D30 D36 D48 D5 D51 D57 D73 D75 D8 D81 D88 D97,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D36 D37 D38 D39 D4 D40 D41 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D6 D7 D9
B44,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D6 D7 D9
B45,D43,D38,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D39 D4 D40 D41 D42 D43 D6 D7 D9
B46,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D43 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D43 D6 D7 D9
B47,D44,D39,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D43 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D4 D40 D41 D42 D43 D44 D6 D7 D9
B48,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D4 D40 D41 D42 D43 D44 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D4 D40 D41 D42 D43 D44 D6 D7 D9
B49,D45,D40,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D4 D40 D41 D42 D43 D44 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D4 D41 D42 D43 D44 D45 D6 D7 D9
B50,D46,D41,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D4 D41 D42 D43 D44 D45 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D4 D42 D43 D44 D45 D46 D6 D7 D9
B51,D47,D49,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D43 D44 D45 D46 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D43 D44 D45 D46 D47 D6 D7 D9
B52,D48,D1 D103 D14 D19 D23 D30 D36 D42 D5 D51 D57 D73 D75 D8 D81 D88 D97,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D43 D44 D45 D46 D47 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D48 D6 D7 D9
B53,D49,D47,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D48 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D48 D49 D6 D7 D9
B54,D50,D52,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D48 D49 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D48 D49 D50 D6 D7 D9
B55,D51,D1 D103 D14 D19 D23 D30 D36 D42 D48 D5 D57 D73 D75 D8 D81 D88 D97,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D48 D49 D50 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D6 D7 D9
B56,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D6 D7 D9
B57,D52,D50,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D51 D52 D6 D7 D9
B58,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D52 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D52 D6 D7 D9
B59,D53,D10 D11 D21 D24 D25 D26 D6,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D52 D6 D7 D9,D12 D13 D15 D16 D17 D18 D2 D20 D22 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D52 D53 D7 D9
B60,D54 D55 D56,D59 D60 D61 D62 D63 D64 D66 D67 D68 D69 D70 D71,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D52 D53 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D52 D53 D54 D55 D56 D6 D7 D9
B61,D57,D1 D103 D14 D19 D23 D30 D36 D42 D48 D5 D51 D73 D75 D8 D81 D88 D97,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D52 D53 D54 D55 D56 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D6 D7 D9
B62,D58 D59 D60 D61,D54 D55 D56 D62 D63 D64 D66 D67 D68 D69 D70 D71 D77,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D61 D7 D9
B63,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D61 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D61 D7 D9
B64,D62,D56 D61 D63 D64 D68 D71,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D61 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D62 D7 D9
B65,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D61 D62 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D61 D62 D7 D9
B66,D63,D56 D61 D62 D64 D68 D71,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D61 D62 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D63 D7 D9
B67,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D63 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D63 D7 D9
