Block,gen[B],kill[B],in[B],out[B]
B68,D64,D56 D61 D62 D63 D68 D71,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D63 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D64 D7 D9
B69,D65,D72,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D7 D9
B70,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D7 D9
B71,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D7 D9
B72,D66,D54 D59 D69,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D55 D56 D57 D58 D6 D60 D63 D64 D65 D66 D7 D9
B73,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D66 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D66 D7 D9
B74,D67,D55 D60 D70,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D66 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D56 D57 D58 D59 D6 D63 D64 D65 D66 D67 D7 D9
B75,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D56 D57 D58 D59 D6 D63 D64 D65 D66 D67 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D56 D57 D58 D59 D6 D63 D64 D65 D66 D67 D7 D9
B76,D68,D56 D61 D62 D63 D64 D71,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D56 D57 D58 D59 D6 D63 D64 D65 D66 D67 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D57 D58 D59 D6 D65 D66 D67 D68 D7 D9
B77,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D57 D58 D59 D6 D65 D66 D67 D68 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D57 D58 D59 D6 D65 D66 D67 D68 D7 D9
B78,D69 D70 D71,D54 D55 D56 D59 D60 D61 D62 D63 D64 D66 D67 D68,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D57 D58 D59 D6 D65 D66 D67 D68 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D6 D65 D69 D7 D70 D71 D9
B79,D72,D65,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D57 D58 D59 D6 D65 D66 D67 D68 D69 D7 D70 D71 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D57 D58 D59 D6 D66 D67 D68 D69 D7 D70 D71 D72 D9
B80,D73,D1 D103 D14 D19 D23 D30 D36 D42 D48 D5 D51 D57 D75 D8 D81 D88 D97,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D73 D9
B81,D74,D78,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D73 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D73 D74 D9
B82,D75,D1 D103 D14 D19 D23 D30 D36 D42 D48 D5 D51 D57 D73 D8 D81 D88 D97,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D73 D74 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D75 D9
B83,D76,D2,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D75 D9,D11 D12 D13 D15 D16 D17 D18 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D75 D76 D9
B84,,,D11 D12 D13 D15 D16 D17 D18 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D75 D76 D9,D11 D12 D13 D15 D16 D17 D18 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D75 D76 D9
B85,D77 D78 D79,D58 D74,D11 D12 D13 D15 D16 D17 D18 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D75 D76 D9,D11 D12 D13 D15 D16 D17 D18 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D75 D76 D77 D78 D79 D9
B86,D80,D82 D83 D84,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D75 D76 D77 D78 D79 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D75 D76 D77 D78 D79 D80 D9
B87,D81,D1 D103 D14 D19 D23 D30 D36 D42 D48 D5 D51 D57 D73 D75 D8 D88 D97,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D75 D76 D77 D78 D79 D80 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D81 D9
B88,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D81 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D81 D9
B89,D82,D80 D83 D84,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D81 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D81 D82 D9
B90,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D81 D82 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D81 D82 D9
B91,D83,D80 D82 D84,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D81 D82 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D81 D83 D9
B92,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D81 D83 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D81 D83 D9
B93,D84,D80 D82 D83,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D81 D83 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D81 D84 D9
B94,D85 D86 D87,D89 D90 D91 D92 D93 D94 D95,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D81 D83 D84 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D81 D83 D84 D85 D86 D87 D9
B95,D88,D1 D103 D14 D19 D23 D30 D36 D42 D48 D5 D51 D57 D73 D75 D8 D81 D97,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D81 D83 D84 D85 D86 D87 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D88 D9
B96,D89 D90 D91,D85 D86 D87 D92 D93 D94 D95,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D88 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D88 D89 D9 D90 D91
B97,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D88 D89 D9 D90 D91,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D88 D89 D9 D90 D91
