Block,gen[B],kill[B],in[B],out[B]
B98,D92,D85 D89 D93,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D88 D89 D9 D90 D91,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D88 D9 D90 D91 D92
B99,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D88 D89 D9 D90 D91 D92,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D88 D89 D9 D90 D91 D92
B100,D93,D85 D89 D92,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D88 D89 D9 D90 D91 D92,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D88 D9 D90 D91 D93
B101,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D88 D9 D90 D91 D93,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D88 D9 D90 D91 D93
B102,D94,D86 D90 D95,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D88 D9 D90 D91 D93,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D88 D9 D91 D93 D94
B103,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D88 D9 D90 D91 D93 D94,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D88 D9 D90 D91 D93 D94
B104,D95,D86 D90 D94,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D88 D9 D90 D91 D93 D94,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D88 D9 D91 D93 D95
B105,D96,D100 D99,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D88 D9 D91 D93 D95,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D88 D9 D91 D93 D95 D96
B106,D97,D1 D103 D14 D19 D23 D30 D36 D42 D48 D5 D51 D57 D73 D75 D8 D81 D88,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D88 D9 D91 D93 D95 D96,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D97
B107,D98,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D97,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D97 D98
B108,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D97 D98,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D97 D98
B109,D99,D100 D96,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D97 D98,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D97 D98 D99
B110,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D97 D98 D99,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D97 D98 D99
B111,D100,D96 D99,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D97 D98 D99,D100 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D97 D98
B112,D101 D102,D104 D105 D106 D107,D100 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D97 D98,D100 D101 D102 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D97 D98
B113,D103,D1 D14 D19 D23 D30 D36 D42 D48 D5 D51 D57 D73 D75 D8 D81 D88 D97,D100 D101 D102 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D97 D98,D100 D101 D102 D103 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D98
B114,D104,D102 D105 D106 D107,D100 D101 D102 D103 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D98,D100 D101 D103 D104 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D98
B115,,,D100 D101 D103 D104 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D98,D100 D101 D103 D104 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D98
B116,D105,D102 D104 D106 D107,D100 D101 D103 D104 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D98,D100 D101 D103 D105 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D98
B117,,,D100 D101 D103 D104 D105 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D98,D100 D101 D103 D104 D105 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D98
B118,D106,D102 D104 D105 D107,D100 D101 D103 D104 D105 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D98,D100 D101 D103 D106 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D98
B119,,,D100 D101 D103 D106 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D98,D100 D101 D103 D106 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D98
B120,D107,D102 D104 D105 D106,D100 D101 D103 D106 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D98,D100 D101 D103 D107 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D98
B121,D108,,D100 D101 D102 D103 D106 D107 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D98,D100 D101 D102 D103 D106 D107 D108 D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D58 D59 D6 D60 D63 D64 D65 D66 D67 D68 D69 D7 D70 D71 D72 D74 D76 D77 D78 D79 D80 D83 D84 D85 D86 D87 D9 D91 D93 D95 D96 D98
